ID,mass,type,site,element_Rb,element_Sr,element_Y,element_Zr
297033j,1.254,core,Chagha Sefid,226,43,28,319
297033k,0.757,core,Chagha Sefid,224,43,27,317
297033L,1.503,blade,Chagha Sefid,227,45,29,324
297033n,0.515,blade,Chagha Sefid,246,47,30,338
297033o,0.576,blade,Chagha Sefid,235,44,29,325
297033p,0.064,flake,Chagha Sefid,262,52,30,346
297034c,2.662,core,Chagha Sefid,218,45,27,318
297035a,1.375,Blade,Chagha Sefid,230,44,27,322
297035b,1.184,Blade,Chagha Sefid,232,46,27,331
297035c,0.606,Blade,Chagha Sefid,238,47,28,331
297035d,1.063,Blade,Chagha Sefid,223,43,28,319
297035e,0.499,Blade,Chagha Sefid,246,47,30,331
297035f,0.528,Blade,Chagha Sefid,233,43,28,327
297035g,0.36,Fragment (from core?),Chagha Sefid,239,52,30,342
297036b,0.54,Blade,Chagha Sefid,245,46,30,334
297036f,1.615,Blade,Chagha Sefid,212,44,26,315
297036r,0.61,Blade,Chagha Sefid,231,44,27,328
297038ae,0.202,Blade,Chagha Sefid,250,50,29,338
297038am,0.507,Blade,Chagha Sefid,232,48,29,330
297039a,0.984,Blade,Chagha Sefid,228,43,30,328
297039aa,0.174,Blade,Chagha Sefid,248,48,30,338
297039ab,0.203,Blade,Chagha Sefid,249,52,33,343
297039ac,0.255,Blade,Chagha Sefid,245,46,29,336
297039ad,0.104,Blade,Chagha Sefid,264,53,33,347
297039ae,0.189,Blade,Chagha Sefid,260,50,33,348
297039af,0.089,Blade,Chagha Sefid,283,54,33,353
297039ag,0.173,Blade,Chagha Sefid,249,48,30,333
297039ah,0.115,Blade,Chagha Sefid,242,48,29,323
297039b,0.714,Blade,Chagha Sefid,238,46,29,330
297039c,0.913,Blade,Chagha Sefid,225,44,28,321
297039d,0.796,Blade,Chagha Sefid,230,45,28,322
297039e,0.721,Blade,Chagha Sefid,229,44,29,326
297039f,0.493,Blade,Chagha Sefid,240,46,29,328
297039g,0.695,Blade,Chagha Sefid,237,47,30,328
297039h,0.526,Blade,Chagha Sefid,242,49,32,328
297039i,0.746,Blade,Chagha Sefid,224,42,27,321
297039j,0.566,Blade,Chagha Sefid,232,44,28,321
297039k,0.54,Blade,Chagha Sefid,243,49,29,328
297039l,0.454,Blade,Chagha Sefid,223,43,30,316
297039m,0.365,Blade,Chagha Sefid,246,49,32,335
297039n,0.354,Blade,Chagha Sefid,242,47,30,335
297039o,0.306,Blade,Chagha Sefid,248,48,31,341
297039p,0.417,Blade,Chagha Sefid,232,46,29,324
297039q,0.303,Blade,Chagha Sefid,243,47,30,334
297039r,0.198,Blade,Chagha Sefid,247,46,32,333
297039s,0.834,Blade,Chagha Sefid,228,41,27,325
297039t,0.317,Blade,Chagha Sefid,242,47,29,331
297039u,0.24,Blade,Chagha Sefid,250,50,31,337
297039v,0.309,Blade,Chagha Sefid,241,47,30,330
297039w,0.291,Blade,Chagha Sefid,250,48,31,333
297039x,0.375,Blade,Chagha Sefid,231,45,29,323
297039y,0.179,Blade,Chagha Sefid,263,54,32,348
297039z,0.19,Blade,Chagha Sefid,251,48,30,339
297040b,0.796,Blade,Chagha Sefid,238,45,30,330
297040c,0.303,Blade,Chagha Sefid,272,53,34,349
297040d,0.193,Blade,Chagha Sefid,244,65,31,358
297041a,0.198,Blade,Chagha Sefid,249,49,30,334
297042a,0.594,Blade,Chagha Sefid,231,45,29,326
297043a,0.14,Blade,Chagha Sefid,258,49,31,340
297043b,0.235,Blade,Chagha Sefid,249,50,30,338
297044a,0.548,Blade,Chagha Sefid,238,45,29,336
297046b,0.874,Used flake,Chagha Sefid,233,45,28,329
297046c,0.824,Used flake,Chagha Sefid,228,44,29,326
297046d,1.521,Used flake,Chagha Sefid,225,43,29,321
297046e,0.605,Used flake,Chagha Sefid,227,43,28,316
297046f,1.599,Used flake,Chagha Sefid,230,44,27,325
297046g,3.998,Used flake,Chagha Sefid,228,43,30,323
297046h,1.141,Used flake,Chagha Sefid,232,46,28,335
297046i,0.602,Used flake,Chagha Sefid,240,49,29,343
297046j,0.72,Used flake,Chagha Sefid,232,45,28,331
297047a,0.482,Flake,Chagha Sefid,231,44,29,330
297047aa,0.15,Flake,Chagha Sefid,260,54,32,351
297047ab,0.171,Flake,Chagha Sefid,259,55,33,354
297047ac,0.032,Flake,Chagha Sefid,233,43,27,312
297047ad,0.528,Flake,Chagha Sefid,218,42,29,317
297047ae,2.038,Distal end of prismatic blade?,Chagha Sefid,223,43,29,322
297047ag,0.103,Flake,Chagha Sefid,251,50,31,341
297047ah,1.056,Flake,Chagha Sefid,238,48,30,330
297047ai,0.672,Flake,Chagha Sefid,246,49,30,337
297047aj,0.438,Flake,Chagha Sefid,225,42,27,321
297047ak,0.782,Flake,Chagha Sefid,226,41,27,328
297047aL,0.987,Flake,Chagha Sefid,224,45,29,317
297047am,0.543,Flake,Chagha Sefid,227,43,27,318
297047an,0.346,Flake,Chagha Sefid,245,48,30,338
297047ao,0.632,Flake,Chagha Sefid,236,44,29,332
297047ap,0.271,Flake,Chagha Sefid,233,45,28,325
297047aq,0.295,Flake,Chagha Sefid,260,51,30,344
297047ar,0.237,Flake,Chagha Sefid,234,45,29,327
297047b,0.419,Flake,Chagha Sefid,227,44,27,322
297047c,0.837,Flake,Chagha Sefid,224,43,27,320
297047d,0.521,Flake,Chagha Sefid,238,45,29,331
297047e,0.099,Flake,Chagha Sefid,272,54,32,345
297047f,0.594,Flake,Chagha Sefid,225,45,28,322
297047g,0.976,Flake,Chagha Sefid,224,43,27,323
297047h,1.269,Flake,Chagha Sefid,232,44,27,332
297047i,0.968,Flake,Chagha Sefid,227,44,29,319
297047j,1.485,Flake,Chagha Sefid,226,43,29,325
297047k,1.309,Flake,Chagha Sefid,233,47,27,333
297047L,1.711,Flake,Chagha Sefid,233,44,29,331
297047m,0.686,Used flake,Chagha Sefid,236,48,30,330
297047n,0.667,Flake,Chagha Sefid,236,44,30,330
297047o,0.648,Flake,Chagha Sefid,246,47,28,334
297047p,2.042,Distal end of prismatic blade?,Chagha Sefid,229,44,29,328
297047q,1.619,Flake,Chagha Sefid,229,43,28,324
297047r,0.715,Flake,Chagha Sefid,226,45,29,331
297047s,0.753,Flake,Chagha Sefid,234,46,27,327
297047t,1.349,Flake,Chagha Sefid,228,46,29,319
297047u,1.336,Flake,Chagha Sefid,221,42,27,316
297047v,1.539,Flake,Chagha Sefid,214,47,28,338
297047x,1.719,Flake,Chagha Sefid,223,43,27,325
297047y,2.356,Flake,Chagha Sefid,234,46,27,330
297047z,0.997,Flake,Chagha Sefid,227,44,29,327
297048L,0.346,Flake,Chagha Sefid,227,46,28,327
297049a,2.547,Core,Chagha Sefid,245,48,30,324
297049g,2.826,Core,Chagha Sefid,217,40,27,316
297049h,4.64,Core,Chagha Sefid,228,44,28,325
297049k,0.658,Blade,Chagha Sefid,239,46,29,330
297049l,0.858,Core fragment,Chagha Sefid,227,43,29,327
297049n,0.67,Flake,Chagha Sefid,225,42,26,325
297049o,0.624,Blade,Chagha Sefid,241,46,27,329
297050a,1.843,Blade,Chagha Sefid,211,41,28,309
297050d,0.989,Blade,Chagha Sefid,229,45,28,325
297050i,1.257,Blade,Chagha Sefid,247,51,30,338
297050j,0.541,Blade,Chagha Sefid,253,46,30,321
297051a,0.222,Blade,Chagha Sefid,242,55,31,359
297051b,0.279,Blade,Chagha Sefid,238,48,30,340
297051c,0.364,Blade,Chagha Sefid,244,45,28,337
297051f,0.116,Blade,Chagha Sefid,254,49,32,342
297051h,0.534,Blade,Chagha Sefid,241,49,28,338
297051i,0.134,Blade,Chagha Sefid,263,51,31,342
297056a,0.182,Flakes,Chagha Sefid,249,54,29,344
297058g,0.262,Blade,Chagha Sefid,263,51,31,342
297059a,0.163,Blade,Chagha Sefid,244,48,29,332
297061d,0.073,Flakes,Chagha Sefid,282,55,32,349
297064ae,0.185,Blades,Chagha Sefid,232,48,30,337
297065s,0.27,Flakes,Chagha Sefid,237,50,30,336
297066b,4.795,Cores and fragments,Chagha Sefid,233,47,30,333
297071a,0.149,Blade,Chagha Sefid,253,47,29,332
297071b,0.217,Blade,Chagha Sefid,239,46,28,330
297071c,0.041,Blade,Chagha Sefid,272,58,32,332
297075a,0.382,Flake,Chagha Sefid,233,47,30,329
297075b,0.212,Flake,Chagha Sefid,231,45,29,322
297075d,0.168,Flake,Chagha Sefid,249,49,31,331
297077a,0.653,Flakes,Chagha Sefid,237,45,28,330
297078L,0.074,Blade,Chagha Sefid,234,35,62,303
297080aa,0.238,Blade,Chagha Sefid,231,45,29,327
